"","SNF2_1","SNF2_2","SNF2_3","SNF2_4","SNF2_5","WT_1","WT_2","WT_3","WT_4","WT_5"
"YBL006C",968,851,699,893,688,616,752,620,1020,665
"YBL006W-A",0,0,0,0,0,0,0,0,0,0
"YBL005W",442,314,347,446,295,403,740,612,779,771
"YBL005W-A",0,0,0,0,0,0,0,0,0,0
"YBL005W-B",39,43,32,67,39,138,139,113,188,141
"tS(AGA)B",1,0,0,1,1,1,0,0,0,0
"YBL004W",1200,945,1058,1463,712,537,1527,843,1192,1581
"YBL003C",7923,6183,6563,8547,5436,1964,4024,3430,5085,3846
"YBL002W",4444,3181,2793,4464,2744,1185,2866,2257,3186,2315
"YBL001C",1782,1367,1496,1970,1284,565,749,755,1170,670
"YBR001C",1260,1090,1029,1474,766,501,662,648,898,611
"YBR002C",508,376,442,494,332,289,506,308,451,512
"YBR003W",1211,867,809,1283,653,486,730,642,874,642
"YBR004C",792,542,604,786,511,247,693,443,764,535
"YBR005W",1213,1191,1254,1248,1109,767,880,546,1895,602
"YBR006W",996,710,727,973,657,363,386,397,772,338
"YBR007C",870,636,576,860,499,212,450,342,461,405
"YBR008C",724,463,487,645,421,181,411,277,379,377
"YBR009C",6013,5644,5258,7643,4401,2219,4413,3531,4490,4347
"YBR010W",7681,5083,5319,7867,4612,1750,4917,3951,4832,4513
"YBR011C",16342,13543,12466,15270,12022,5943,8252,6798,11274,8903
"YBR012C",50,30,36,39,34,30,46,58,66,57
"YBR012W-A",0,0,0,0,0,0,0,0,0,0
"YBR012W-B",10,10,7,10,4,13,8,12,21,15
"YBR013C",130,87,100,138,85,39,71,73,127,66
"tT(AGU)B",0,0,0,0,0,0,0,1,0,0
"YBR014C",1016,721,657,968,559,234,436,416,495,353
"YBR015C",2607,2044,1960,2768,1581,1252,1648,1324,1974,1695
"YBR016W",2351,2187,1659,2773,1865,1137,1286,1208,2035,1203
"YBR017C",1071,1005,1069,1242,743,689,1263,794,1205,1245
"YBR018C",132,101,108,152,66,29,63,30,59,42
"YBR019C",215,172,154,224,126,61,115,112,179,111
"YBR020W",250,210,221,261,174,77,151,114,143,133
"YBR021W",264,185,188,241,133,131,221,159,198,194
"YBR022W",267,195,182,262,183,145,227,187,288,204
"YBR023C",2486,1913,1983,2673,1404,866,1330,1144,1534,1223
"YBR024W",456,315,313,462,263,153,224,214,335,250
"YBR025C",5609,4614,5119,5811,3681,3636,6304,4558,6953,6246
"YBR026C",1157,911,932,1195,785,490,687,653,1052,565
"YBR027C",38,19,21,38,12,15,23,27,25,21
"YBR028C",564,338,342,567,309,295,494,435,508,515
"YBR029C",1122,648,662,981,556,462,902,656,999,940
"YBR030W",361,296,349,440,246,205,345,262,358,462
"YBR031W",7976,7922,7935,9333,6387,5933,7159,5828,9787,7298
"YBR032W",195,106,85,201,100,46,176,135,94,203
"YBR033W",384,340,279,431,210,114,252,187,258,232
"YBR034C",1014,637,611,735,539,709,1785,973,1194,1991
"YBR035C",1904,1502,1773,2085,1332,736,826,819,1320,817
"snR161",4,4,3,2,4,3,3,4,7,6
"TLC1",2357,1612,1958,2183,1556,733,1540,1191,1736,1490
"YBR036C",4075,3582,3420,4143,2723,2156,2212,1847,3439,1996
"YBR037C",732,635,570,730,478,340,372,375,538,339
"YBR038W",738,473,408,662,320,412,578,469,566,555
"YBR039W",2582,2074,1978,2555,1632,1063,1227,1219,1850,1131
"YBR040W",4,1,4,7,1,2,2,3,2,3
"YBR041W",1407,1045,1044,1460,793,711,998,840,1334,813
"YBR042C",649,496,504,788,421,285,521,445,611,527
"YBR043C",1274,1000,865,1271,679,424,569,404,694,509
"YBR044C",743,582,551,756,468,316,491,447,634,493
"tV(UAC)B",0,0,0,0,0,0,0,0,0,0
"YBR045C",115,91,94,133,78,54,61,77,91,66
"YBR046C",1146,844,811,1140,690,496,463,607,924,363
"YBR047W",108,78,102,125,78,60,75,94,171,72
"YBR048W",7781,7330,7091,8798,5697,6371,7331,5306,9476,8163
"YBR049C",838,719,687,957,550,378,653,407,645,727
"YBR050C",274,203,189,254,162,240,190,208,396,185
"YBR051W",19,12,10,12,9,3,9,13,11,14
"YBR052C",3292,2884,3045,3676,2532,1388,1562,1797,2599,1538
"YBR053C",1175,1003,984,1104,873,566,558,648,1007,411
"YBR054W",214,140,153,195,126,482,348,209,887,257
"YBR055C",749,526,598,777,467,201,451,337,438,393
"tL(UAA)B2",0,0,0,0,0,0,1,0,0,0
"YBR056W",1620,1408,1539,1885,1231,895,974,992,1785,760
"tQ(UUG)B",1,0,0,0,0,0,0,0,0,0
"YBR056W-A",14,8,8,15,14,7,11,7,37,10
"YBR056C-B",0,0,0,0,0,0,0,0,0,0
"YBR057C",1272,942,864,1257,797,385,771,654,750,698
